step,loss_total,loss_action,loss_latent,step_time_s,samples_per_s
54,0.00903626810759306,0.0062198759987950325,0.0028163918759673834,0.002524007111787796,50713.01083194472
55,0.010537142865359783,0.007644689176231623,0.002892453921958804,0.0025102924555540085,50990.074768699036
56,0.00999423023313284,0.007332592271268368,0.0026616377290338278,0.002529297024011612,50606.94682547982
57,0.009146153926849365,0.006293991580605507,0.0028521621134132147,0.00252586230635643,50675.763155371955
58,0.009206374175846577,0.006515997461974621,0.0026903769467025995,0.002532452344894409,50543.89286260665
59,0.009801909327507019,0.007001887075603008,0.0028000222519040108,0.0025280043482780457,50632.82430158295
60,0.008306777104735374,0.0056097982451319695,0.002696978859603405,0.0025123339146375656,50948.641521827936
61,0.008317642845213413,0.005766254849731922,0.0025513877626508474,0.0025290362536907196,50612.16493563692
62,0.007931847125291824,0.005359267815947533,0.0025725788436830044,0.002532362937927246,50545.67735253966
63,0.009083559736609459,0.006390884052962065,0.002692675683647394,0.0025265514850616455,50661.94010167852
64,0.008391077630221844,0.005860167555510998,0.002530910074710846,0.0025329627096652985,50533.708811257515
65,0.007590300403535366,0.004866977222263813,0.002723323181271553,0.002512296661734581,50949.39699980501
66,0.008145220577716827,0.005570957437157631,0.00257426337338984,0.0025380514562129974,50432.38965335541
67,0.007857952266931534,0.00522879371419549,0.0026291590183973312,0.0025214217603206635,50765.009652221575
68,0.0063732522539794445,0.0038353572599589825,0.002537894994020462,0.002527756616473198,50637.78655185144
69,0.006825020536780357,0.004373292438685894,0.0024517278652638197,0.002523425966501236,50724.69004409657
70,0.006403799168765545,0.0039019957184791565,0.002501803683117032,0.002509539946913719,51005.36461171573
71,0.006362440530210733,0.0037437397986650467,0.0026187007315456867,0.002644674852490425,48399.14437098593
72,0.0061741964891552925,0.0037075013387948275,0.002466695150360465,0.003030674532055855,42234.822197542715
73,0.006088628433644772,0.0033899941481649876,0.002698634285479784,0.0030303243547677994,42239.70275611242
74,0.005860099568963051,0.0033654202707111835,0.0024946790654212236,0.0038855895400047302,32942.23403737189
75,0.0053354715928435326,0.0027856421656906605,0.002549829427152872,0.003874547779560089,33036.113446646654
76,0.005049535539001226,0.0025485334917902946,0.0025010020472109318,0.0038905590772628784,32900.15585370618
77,0.005188014358282089,0.00276514096185565,0.002422873629257083,0.003874627873301506,33035.430545987714
78,0.0045931218191981316,0.0021231509745121002,0.0024699708446860313,0.0038820430636405945,32972.328720115
79,0.004820770584046841,0.0021967203356325626,0.0026240504812449217,0.003886288031935692,32936.313250113235
80,0.00454623531550169,0.0020992830395698547,0.002446952508762479,0.0038935746997594833,32874.674269870025
81,0.004494604654610157,0.0018865587189793587,0.0026080457028001547,0.0038906279951334,32899.57306638133
82,0.004625611938536167,0.002211869927123189,0.002413742011412978,0.0038774237036705017,33011.61022944973
83,0.004657192621380091,0.002187421778216958,0.0024697708431631327,0.003896459937095642,32850.331343431986
84,0.00437958724796772,0.0019583923276513815,0.002421194687485695,0.003891007974743843,32896.36023129113
85,0.004149517975747585,0.001806625397875905,0.0023428925778716803,0.0033552944660186768,38148.66364080473
86,0.0037428175564855337,0.001384724397212267,0.002358093159273267,0.003887653350830078,32924.74622838219
87,0.0037537608295679092,0.0012698241043835878,0.0024839367251843214,0.0038743074983358383,33038.162318035116
88,0.003465308342128992,0.0011343294754624367,0.0023309788666665554,0.003875046968460083,33031.85768890598
89,0.00344812567345798,0.0010031787678599358,0.0024449469055980444,0.0038777440786361694,33008.88284639417
90,0.003405926749110222,0.0011278148740530014,0.0022781118750572205,0.003644464537501335,35121.757581364065
91,0.003437733743339777,0.0011297378223389387,0.0023079959210008383,0.003881772980093956,32974.62284796002
92,0.003330735256895423,0.0010668067261576653,0.0022639285307377577,0.0038846470415592194,32950.22652781947
93,0.003300702665001154,0.0010990261798724532,0.002201676368713379,0.003891780972480774,32889.82625309661
94,0.003338587936013937,0.0011540834093466401,0.002184504410251975,0.0038817618042230606,32974.71778426635
95,0.003542910097166896,0.0012406099122017622,0.0023023001849651337,0.003887902945280075,32922.63253520573
96,0.0036269810516387224,0.001463198335841298,0.0021637827157974243,0.003895767033100128,32856.17412757396
97,0.004226580262184143,0.001997540704905987,0.0022290397901088,0.003886040300130844,32938.41291241632
98,0.0047982847318053246,0.0026866933330893517,0.002111591398715973,0.0038913264870643616,32893.667602937094
99,0.00531125720590353,0.0031515921000391245,0.0021596653386950493,0.003896508365869522,32849.92305449247
100,0.004234778694808483,0.0020936080254614353,0.0021411709021776915,0.003901710733771324,32806.122425246394
101,0.003446520771831274,0.0013730571372434497,0.0020734635181725025,0.0038944948464632034,32866.907017798105
102,0.00416028406471014,0.0020962292328476906,0.002064054599031806,0.0038838163018226624,32957.27450856262
103,0.005338666960597038,0.0031765392050147057,0.0021621279884129763,0.0038892962038517,32910.83869447571
104,0.00525305699557066,0.0032545258291065693,0.001998531399294734,0.0038748793303966522,33033.28673899563
105,0.004807081073522568,0.002670461079105735,0.0021366202272474766,0.00389166921377182,32890.77076413232
